country,region,timezone,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10
Slovenia,Europe,Europe/Ljubljana,-0.283681344,1.391086083,-0.498985335,-0.387950912,-0.329184128,-0.411053677
Solomon Islands,Australia,Pacific/Guadalcanal,-0.315148788,0.039564955,-0.488418256,-0.373999994,-0.361794476,-0.422438186
Somalia,Africa,Africa/Mogadishu,-0.315148788,-0.310601883,-0.56238781,-0.429803665,-0.237107852,-0.231747664
South Africa,Africa,Africa/Johannesburg,0.131563465,2.711890821,0.135039411,3.218361307,0.693246194,0.66335934
South Korea,Asia,Asia/Seoul,-0.189488098,-0.144733381,0.314679755,-0.046153429,-0.292737269,-0.381169342
Sudan,Africa,Africa/Khartoum,-0.224405461,-0.54711808,-0.546537191,-0.429803665,-0.231353085,0.101249218
Spain,Europe,Europe/Madrid,-0.266222662,2.358652345,-0.292927293,-0.415852747,-0.338775407,-0.411053677
Sri Lanka,Asia,Asia/Colombo,-0.290685725,-0.476470385,-0.340479149,-0.255417194,-0.357957965,-0.40820755
Sudan,Africa,Africa/Khartoum,-0.20694678,0.073352983,-0.520119493,-0.394926371,-0.137358552,0.512514599
Suriname,America,America/Paramaribo,-0.283681344,-0.651553804,-0.546537191,-0.415852747,-0.367549244,-0.421015122
Sweden,Europe,Europe/Stockholm,-0.269777125,0.337513931,-0.134421106,0.218914007,-0.33302064,-0.375477087
Switzerland,Europe,Europe/Zurich,-0.294135644,0.512597349,-0.382747465,-0.353073618,-0.308083315,-0.402515296
Syria,Asia,Asia/Damascus,-0.287235806,2.665816237,-0.4408664,-0.178687147,-0.254372154,-0.324246798
Tajikistan,Asia,Asia/Dushanbe,-0.306367176,1.962410923,-0.546537191,-0.367024535,-0.348366686,-0.382592405
Tanzania,Africa,Africa/Dar_es_Salaam,-0.297690106,-0.08944388,-0.55710427,-0.429803665,-0.359876221,-0.425284313
Thailand,Asia,Asia/Bangkok,0.208298029,-0.989434086,0.816616013,0.888558056,-0.194906225,-0.179094311
Indonesia,Asia,Asia/Jakarta,0.061728739,3.280144023,-0.229524818,0.274717678,0.401671317,0.306170377
Bulgaria,Europe,Europe/Bucharest,-0.283681344,1.415659194,-0.525403033,-0.394926371,-0.242862619,-0.342746624
Tonga,Australia,Pacific/Tongatapu,-0.301140026,1.08392219,-0.546537191,-0.408877288,-0.363712732,-0.384015469
Trinidad and Tobago,America,America/Port_of_Spain,-0.297690106,-0.946431141,-0.266509595,-0.387950912,-0.34644843,-0.384015469
Tunisia,Africa,Africa/Tunis,-0.297690106,1.391086083,-0.504268875,-0.380975453,-0.340693663,-0.341323561
Turkey,Europe,Europe/Istanbul,-0.255768362,3.765462973,-0.261226055,0.337496807,-0.131603785,-0.257362808
Turkmenistan,Asia,Asia/Ashgabat,-0.234859762,5.611517968,-0.187256502,0.783926173,-0.022263206,0.061403438
Tuvalu,Australia,Pacific/Funafuti,-0.344734458,-0.353604828,-0.56238781,-0.436779124,-0.356039709,-0.365515642
Uganda,Africa,Africa/Kampala,-0.172029417,0.162430512,-0.520119493,-0.360049076,-0.310001571,-0.35697726
Ukraine,Europe,Europe/Kiev,-0.292462956,0.908838771,-0.535970112,-0.360049076,-0.131603785,-0.231747664
United Arab Emirates,Asia,Asia/Dubai,-0.102299233,8.597151005,0.02408508,0.211938548,1.197747459,1.332199232
United Kingdom,Europe,Europe/London,-0.220955542,0.512597349,0.209008964,0.26076676,-0.310001571,-0.375477087
United States of America,America,America/Los_Angeles,-0.262772743,0.755256825,-0.488418256,-0.394926371,-0.202579248,-0.307170034
Uruguay,America,America/Montevideo,-0.20694678,-0.430395801,-0.261226055,-0.088006182,-0.33302064,-0.385438532
Uzbekistan,Asia,Asia/Tashkent,-0.262772743,2.840899656,-0.382747465,-0.304245406,-0.250535642,-0.133556275
Vanuatu,Australia,Pacific/Efate,-0.311594326,0.687680768,-0.56238781,-0.429803665,-0.294655525,-0.314285352
Venezuela,America,America/Caracas,0.340858557,-1.244380117,1.572162168,2.381306247,0.104341674,-0.075210668
Vietnam,Asia,Asia/Bangkok,-0.105749153,1.523166556,-0.234808358,-0.081030723,-0.139276808,-0.224632346
Yemen,Asia,Asia/Aden,-0.344734458,2.269574816,-0.498985335,0.02360116,-0.051037043,0.207978988
Zambia,Africa,Africa/Lusaka,0.410693283,1.08392219,-0.483134716,-0.199613523,-0.054873554,-0.126440957
Zimbabwe,Africa,Africa/Harare,-0.074386252,1.08392219,-0.44614994,0.163110336,-0.052955298,-0.156325293
